Block,Plot,SubPlot,Nitrogen,Date,id padre,fk id padre,ref hijo,Bare ground,Disturbance,Litter,Dung
1,1,permanente,Increased,2018-12-19,1,,,10,,30,
1,7,permanente,Ambient,2018-12-19,7,,,1,3,40,
2,2,permanente,Increased,2018-12-19,2,,,4,,45,
2,8,permanente,Ambient,2018-12-19,8,,,2,,50,
3,3,permanente,Increased,2018-12-19,3,,,3,20,50,
3,9,permanente,Ambient,2018-12-19,9,,,,NA,50,
4,4,permanente,Increased,2018-12-19,4,,,15,15,25,
4,10,permanente,Ambient,2018-12-19,10,,,,NA,50,
5,5,permanente,Increased,2018-12-19,5,,,,NA,70,
5,11,permanente,Ambient,2018-12-19,11,,,,NA,50,
6,6,permanente,Increased,2018-12-19,6,,,1,NA,45,
6,12,permanente,Ambient,2018-12-19,12,,,,NA,40,
5,11,permanente,Ambient,2018-12-19,,11,c,,,,1.5
5,11,permanente,Ambient,2018-12-19,,11,b,,,,0.5
6,6,permanente,Increased,2018-12-19,,6,a,,,,2
6,6,permanente,Increased,2018-12-19,,6,b,,,,2.5
